Team Name,PLAYER
GAZZA,Corey Conners
GBOA 1,Jon Rahm
GBOA 1,Max Homa
GBOA 1,Justin Thomas
GBOA 1,Corey Conners
GBOA 1,Hideki Matsuyama
GBOA 1,Rory McIlroy
GBOA 1,Tony Finau
GBOA 2,Shane Lowry
GBOA 2,Sam Burns
GBOA 2,Justin Thomas
GBOA 2,Will Zalatoris
GBOA 2,Scottie Scheffler
GBOA 2,Collin Morikawa
GBOA 2,Cameron Smith
GEORGE B 1,Corey Conners
GEORGE B 1,Cameron Smith
GEORGE B 1,Xander Schauffele
GEORGE B 1,Justin Thomas
GEORGE B 1,Scottie Scheffler
GEORGE B 1,Davis Riley
GEORGE B 1,Billy Horschel
GEORGE B 2,Daniel Berger
GEORGE B 2,Cameron Smith
GEORGE B 2,Jon Rahm
GEORGE B 2,Rory McIlroy
GEORGE B 2,Corey Conners
GEORGE B 2,Sam Burns
GEORGE B 2,Jordan Spieth
GEORGE B 3,Lucas Herbert
GEORGE B 3,Jon Rahm
GEORGE B 3,Scottie Scheffler
GEORGE B 3,Brooks Koepka
GEORGE B 3,Justin Thomas
GEORGE B 3,Billy Horschel
GEORGE B 3,Will Zalatoris
GG 2,Scottie Scheffler
GG 2,Collin Morikawa
GG 2,Jon Rahm
GG 2,Corey Conners
GG 2,Justin Thomas
GG 2,Cameron Smith
GG 2,Rory McIlroy
GLY 1,Scottie Scheffler
GLY 1,Jon Rahm
GLY 1,Corey Conners
GLY 1,Justin Thomas
GLY 1,Rory McIlroy
GLY 1,Cameron Smith
GLY 1,Sam Burns
GNZ,Sam Burns
GNZ,Scottie Scheffler
GNZ,Matt Fitzpatrick
GNZ,Will Zalatoris
GNZ,Cameron Smith
GNZ,Justin Thomas
GNZ,Sungjae Im
GOLDEN BEAR,Jon Rahm
GOLDEN BEAR,Corey Conners
GOLDEN BEAR,Justin Thomas
GOLDEN BEAR,Max Homa
GOLDEN BEAR,Rory McIlroy
GOLDEN BEAR,Shane Lowry
GOLDEN BEAR,Sam Burns
GRASSHOPPER,Matt Fitzpatrick
GRASSHOPPER,Justin Thomas
GRASSHOPPER,Cameron Young
GRASSHOPPER,Xander Schauffele
GRASSHOPPER,Jon Rahm
GRASSHOPPER,Shane Lowry
GRASSHOPPER,Rory McIlroy
GREEN AS GRASS,Rory McIlroy
GREEN AS GRASS,Louis Oosthuizen
GREEN AS GRASS,Brooks Koepka
GREEN AS GRASS,Hideki Matsuyama
GREEN AS GRASS,Collin Morikawa
GREEN AS GRASS,Shane Lowry
GREEN AS GRASS,Xander Schauffele
HABS FOR LIFE,Rory McIlroy
HABS FOR LIFE,Jon Rahm
HABS FOR LIFE,Sam Burns
HABS FOR LIFE,Cameron Smith
HABS FOR LIFE,Justin Thomas
HABS FOR LIFE,Justin Rose
HABS FOR LIFE,Scottie Scheffler
HARRY BILLINGS,Justin Thomas
HARRY BILLINGS,Jon Rahm
HARRY BILLINGS,Jordan Spieth
HARRY BILLINGS,Scottie Scheffler
HARRY BILLINGS,Dustin Johnson
HARRY BILLINGS,Rory McIlroy
HARRY BILLINGS,Daniel Berger
HAYWOOD JABLOWME,Collin Morikawa
HAYWOOD JABLOWME,Will Zalatoris
HAYWOOD JABLOWME,Cameron Smith
HAYWOOD JABLOWME,Rory McIlroy
HAYWOOD JABLOWME,Justin Thomas
HAYWOOD JABLOWME,Matt Fitzpatrick
HAYWOOD JABLOWME,Scottie Scheffler
HERMAN WINNINGHAM,Rory McIlroy
HERMAN WINNINGHAM,Jon Rahm
HERMAN WINNINGHAM,Collin Morikawa
HERMAN WINNINGHAM,Justin Thomas
HERMAN WINNINGHAM,Seamus Power
HERMAN WINNINGHAM,Brooks Koepka
HERMAN WINNINGHAM,Jordan Spieth
HORACE RAWLINS,Rory McIlroy
HORACE RAWLINS,Scottie Scheffler
HORACE RAWLINS,Justin Thomas
HORACE RAWLINS,Jordan Spieth
HORACE RAWLINS,Shane Lowry
HORACE RAWLINS,Jon Rahm
HORACE RAWLINS,Will Zalatoris
IAN CRAIG 1,Justin Thomas
IAN CRAIG 1,Matt Fitzpatrick
IAN CRAIG 1,Scottie Scheffler
IAN CRAIG 1,Xander Schauffele
IAN CRAIG 1,Shane Lowry
IAN CRAIG 1,Sam Burns
IAN CRAIG 1,Rory McIlroy
IAN CRAIG 2,Daniel Berger
IAN CRAIG 2,Davis Riley
IAN CRAIG 2,Cameron Smith
IAN CRAIG 2,Max Homa
IAN CRAIG 2,Jon Rahm
IAN CRAIG 2,Mito Pereira
IAN CRAIG 2,Will Zalatoris
J.D. ON THE ROCKS,Jordan Spieth
J.D. ON THE ROCKS,Justin Thomas
J.D. ON THE ROCKS,Xander Schauffele
J.D. ON THE ROCKS,Joaquin Niemann
J.D. ON THE ROCKS,Stewart Cink
J.D. ON THE ROCKS,Wyndham Clark
J.D. ON THE ROCKS,Viktor Hovland
JACASSIC PARK,Jordan Spieth
JACASSIC PARK,Jon Rahm
JACASSIC PARK,Shane Lowry
JACASSIC PARK,Rory McIlroy
JACASSIC PARK,Scottie Scheffler
JACASSIC PARK,Collin Morikawa
JACASSIC PARK,Xander Schauffele
JACOB A,Rory McIlroy
JACOB A,Justin Thomas
JACOB A,Tony Finau
JACOB A,Jon Rahm
JACOB A,Xander Schauffele
JACOB A,Joaquin Niemann
JACOB A,Tommy Fleetwood
JAMES BOND,Will Zalatoris
JAMES BOND,Justin Thomas
JAMES BOND,Sungjae Im
JAMES BOND,Corey Conners
JAMES BOND,Shane Lowry
JAMES BOND,Matt Fitzpatrick
JAMES BOND,Rory McIlroy
JARNOLD 96,Cameron Smith
JARNOLD 96,Jordan Spieth
JARNOLD 96,Rory McIlroy
JARNOLD 96,Daniel Berger
JARNOLD 96,Justin Thomas
JARNOLD 96,Tony Finau
JARNOLD 96,Jon Rahm
JARNZY 96,Will Zalatoris
JARNZY 96,Scottie Scheffler
JARNZY 96,Cameron Smith
JARNZY 96,Matt Fitzpatrick
JARNZY 96,Shane Lowry
JARNZY 96,Rory McIlroy
JARNZY 96,Justin Thomas
JASON PRINCE 1,Dustin Johnson
JASON PRINCE 1,Rory McIlroy
JASON PRINCE 1,Matt Fitzpatrick
JASON PRINCE 1,Cameron Smith
JASON PRINCE 1,Scottie Scheffler
JASON PRINCE 1,Justin Thomas
JASON PRINCE 1,Patrick Cantlay
JASON PRINCE 2,Louis Oosthuizen
JASON PRINCE 2,Rory McIlroy
JASON PRINCE 2,Shane Lowry
JASON PRINCE 2,Justin Thomas
JASON PRINCE 2,Matt Fitzpatrick
